init_magnet,Energy,Density,order,init_stab,length
0.2,-0.623046875,0.4482421875,off_first,1.0,0
0.2,-0.740234375,0.255859375,random,1.0,1
0.4,-1.0,1.0,off_first,0.0,0
0.4,-1.0,0.0,random,0.0,1
0.4,-0.9375,0.9033203125,off_first,0.2,0
0.4,-0.974609375,0.03515625,random,0.2,4
0.4,-0.787109375,0.5869140625,off_first,0.4,0
0.4,-0.970703125,0.0263671875,random,0.4,6
0.4,-0.767578125,0.45703125,off_first,0.5,0
0.4,-0.97265625,0.0244140625,random,0.5,1
0.4,-0.720703125,0.3095703125,off_first,0.6,0
0.4,-0.958984375,0.025390625,random,0.6,1
0.4,-0.767578125,0.23828125,off_first,0.8,0
0.4,-0.86328125,0.103515625,random,0.8,6
0.4,-0.6953125,0.228515625,off_first,1.0,0
0.4,-0.826171875,0.11328125,random,1.0,1
0.5,-1.0,1.0,off_first,0.0,0
0.5,-1.0,0.0,random,0.0,1
0.5,-0.896484375,0.4208984375,off_first,0.2,0
0.5,-1.0,0.0,random,0.2,1
