length,$p_{stable}$,Energy,Consensus
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-0.9453125,0.90625
15,$0$,-0.7734375,0.13333333333333333
15,$1/n^2$,-0.7734375,0.13333333333333333
15,$1/n^{3/2}$,-0.7734375,0.13333333333333333
15,$1/n$,-0.7734375,0.13333333333333333
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
15,$1/\log^{2}(n)$,-0.8046875,0.2333333333333333
1,$1/\log(n)$,-1.0,1.0
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1120,$1/{n^{1/3}}$,-0.84375,0.20493861607142855
1,$1/\log^{2}(n)$,-1.0,1.0
15,$1/\log(n)$,-0.8671875,0.0625
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
15,$0$,-0.796875,0.4666666666666667
15,$1/n^2$,-0.796875,0.4666666666666667
15,$1/n^{3/2}$,-0.796875,0.4666666666666667
15,$1/n$,-0.8125,0.5166666666666667
1,$1/\sqrt{n}$,-0.875,0.75
1,$1/{n^{1/3}}$,-1.0,1.0
15,$1/\log^{2}(n)$,-0.8359375,0.15
1,$1/\log(n)$,-1.0,1.0
15,$0$,-0.796875,0.4
15,$1/n^2$,-0.796875,0.4
15,$1/n^{3/2}$,-0.796875,0.4
15,$1/n$,-0.796875,0.4
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-0.90625,0.84375
15,$1/\log^{2}(n)$,-0.8203125,0.375
1,$1/\log(n)$,-1.0,1.0
15,$0$,-0.796875,0.03333333333333333
15,$1/n^2$,-0.796875,0.03333333333333333
15,$1/n^{3/2}$,-0.796875,0.03333333333333333
15,$1/n$,-0.796875,0.03333333333333333
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-0.875,0.375
15,$1/\log^{2}(n)$,-0.8515625,0.20833333333333331
1719,$1/\log(n)$,-0.8203125,0.083883253344968
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-0.875,0.125
1,$1/{n^{1/3}}$,-0.96875,0.96875
1,$1/\log^{2}(n)$,-1.0,1.0
264,$1/\log(n)$,-0.8515625,0.3046875
15,$0$,-0.8203125,0.4083333333333333
15,$1/n^2$,-0.8203125,0.4083333333333333
15,$1/n^{3/2}$,-0.8203125,0.4083333333333333
15,$1/n$,-0.8203125,0.39166666666666666
1,$1/\sqrt{n}$,-1.0,1.0
1,$1/{n^{1/3}}$,-1.0,1.0
15,$1/\log^{2}(n)$,-0.8125,0.6333333333333333
78,$1/\log(n)$,-0.84375,0.14453125
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
1,$1/\sqrt{n}$,-1.0,1.0
6,$1/{n^{1/3}}$,-0.921875,0.84375
1,$1/\log^{2}(n)$,-1.0,1.0
1,$1/\log(n)$,-1.0,1.0
15,$0$,-0.78125,0.3
15,$1/n^2$,-0.78125,0.3
15,$1/n^{3/2}$,-0.78125,0.3
15,$1/n$,-0.7890625,0.3083333333333333
1,$1/\sqrt{n}$,-0.875,0.0
1,$1/{n^{1/3}}$,-0.875,0.5
15,$1/\log^{2}(n)$,-0.8125,0.016666666666666666
30,$1/\log(n)$,-0.8515625,0.2734375
1,$0$,-1.0,1.0
1,$1/n^2$,-1.0,1.0
1,$1/n^{3/2}$,-1.0,1.0
1,$1/n$,-1.0,1.0
